rating,startYear,runtimeMinutes,awardWins,totalImages,totalVideos,totalCredits,criticReviewsTotal,titleType,awardNominationsExcludeWins,canHaveEpisodes,isAdult,numRegions,userReviewsTotal,ratingCount,countryOfOrigin,genres
8,1995,58,0,1,0,21,1,1,0,0,0,1,0,781,['US'],"Action,Adventure,Animation"
6,1982,58,0,1,0,1,0,2,0,0,0,1,0,11,['XWG'],Action
6,1992,58,0,1,0,24,0,3,0,0,0,1,1,38,['RU'],Comedy
6,2021,58,0,22,0,56,0,4,0,1,0,1,0,15,['MX'],Reality-TV
8,2020,80,1,347,2,47,4,4,1,1,0,32,452,15746,['KR'],"Comedy,Drama,Romance"
9,1995,34,0,1,0,0,0,5,0,0,0,1,1,14,['US'],"Documentary,Short"
8,1995,45,0,5,0,110,0,1,0,0,0,1,0,96,['US'],"Drama,Romance"
8,2022,58,0,7,0,69,0,6,0,1,0,14,0,70,['JP'],Comedy
8,1996,12,2,1,0,2,0,7,0,0,0,1,0,12,['BR'],"Animation,Short"
9,2022,58,0,9,0,15,0,6,0,1,0,1,0,27,['IN'],Drama
9,2017,44,0,1,0,5,0,8,0,0,0,1,0,33,['US'],Action
9,1980,58,0,0,0,68,0,9,0,0,0,1,0,9,['US'],Sport
7,1965,60,0,1,0,36,0,3,0,0,0,3,0,24,['SUHH'],Family
3,2014,90,1,6,1,141,1,3,0,0,0,5,4,762,['US'],"Comedy,Romance"
7,2004,82,1,1,0,84,1,3,3,0,0,6,2,322,"['FR', 'MK', 'SI']",Drama
9,2009,21,0,11,0,84,2,1,0,0,0,1,5,4570,['US'],"Comedy,Romance"
5,2023,122,0,7,3,23,0,3,0,0,0,3,0,408,['IN'],Comedy
9,1984,58,0,0,0,30,0,1,0,0,0,1,0,9,['JP'],"Action,Adventure,Animation"
7,2016,17,0,1,0,6,0,7,0,0,0,1,0,10,['PL'],Short
5,1900,1,0,1,0,4,0,7,0,0,0,1,0,13,['FR'],"Comedy,Short"
9,1997,30,6,719,0,438,6,4,10,1,0,31,41,19758,['US'],"Action,Adventure,Animation"
8,1970,23,0,93,0,11,0,1,0,0,0,1,0,11,['GB'],Comedy
7,2016,93,0,41,16,209,57,3,1,0,0,32,155,34175,['US'],"Crime,Drama,Mystery"
7,1943,57,0,11,0,35,1,3,0,0,0,3,0,32,['US'],"Drama,Western"
6,1968,74,0,0,0,43,0,1,0,0,0,1,0,6,['DDDE'],Crime
7,1970,58,0,4,0,14,0,1,0,0,0,1,1,19,['GB'],"Drama,History,War"
6,2007,30,0,1,0,54,0,1,0,0,0,1,2,23,['GB'],Comedy
5,2016,85,0,3,0,35,0,3,0,0,0,2,0,20,['US'],Western
6,1970,83,0,46,0,44,0,3,0,0,0,2,0,22,['GR'],Comedy
5,2020,75,0,1,0,8,0,1,0,0,0,1,0,5,['NP'],Reality-TV
8,1961,30,0,3,0,23,2,1,0,0,0,1,5,438,['US'],"Drama,Mystery"
5,1959,78,0,6,0,29,0,3,0,0,0,2,0,9,['JP'],Drama
7,2007,28,0,0,0,44,0,1,0,0,0,7,0,13,['GB'],"Crime,Drama,Romance"
5,1999,58,1,2,0,85,0,3,0,0,0,1,0,8,['NO'],"Crime,Drama"
8,1992,184,1,0,0,42,0,8,0,0,0,1,0,10,['DE'],Drama
8,1986,58,0,0,0,9,0,5,0,0,1,1,1,20,['US'],"Adult,Short"
9,1958,30,0,5,0,13,0,1,0,0,0,1,0,34,['US'],"Family,Game-Show"
6,1966,25,0,1,0,10,0,8,0,0,0,2,0,5,['SE'],Drama
6,1993,10,0,5,0,23,0,7,0,0,0,4,0,27,['RU'],"Animation,Short"
6,2014,108,0,71,1,48,6,3,0,0,0,5,1,57,"['CZ', 'SK']",Drama
5,1992,30,1,1,0,23,0,7,0,0,0,4,0,31,['FI'],"Documentary,Short"
9,1997,25,0,0,0,21,0,1,0,0,0,1,1,33,['GB'],"Crime,Drama"
3,2009,58,0,0,0,82,0,4,0,1,0,1,0,17,['US'],Talk-Show
10,2012,40,1,1,0,106,0,7,5,0,0,1,0,9,['AU'],"Adventure,Comedy,Short"
8,2014,21,0,2,0,125,0,1,0,0,0,1,0,108,['JP'],"Action,Adventure,Animation"
6,1968,80,0,1,0,9,1,3,0,0,0,2,0,24,['JP'],"Action,Crime"
9,1976,58,0,0,0,54,0,1,0,0,0,7,0,13,['US'],"Comedy,Romance"
8,1996,58,0,7,0,72,0,1,0,0,0,1,11,356,['US'],"Action,Adventure,Crime"
7,1993,98,1,3,0,87,0,3,1,0,0,3,8,1442,['BE'],Drama
9,1993,28,0,0,0,45,0,1,0,0,0,1,0,25,['DE'],"Comedy,Family"
7,2007,58,0,0,0,21,0,8,0,0,0,1,0,6,['AU'],Comedy
7,2009,58,0,1,0,20,0,4,0,1,0,1,0,11,['GB'],Game-Show
3,2012,110,0,1,0,79,0,3,0,0,0,2,0,37,"['CY', 'DE']","Crime,Thriller"
8,1989,48,0,1,0,68,0,1,0,0,0,1,0,90,['US'],"Drama,Romance"
6,1995,58,0,0,0,8,0,5,0,0,1,1,0,98,['US'],Adult
8,2018,50,0,0,0,158,1,1,0,0,0,1,0,78,"['IT', 'FR']","Drama,Mystery"
7,2003,89,0,71,0,127,3,8,1,0,0,9,13,612,"['CA', 'US']",Drama
8,2018,42,0,4,2,186,2,1,0,0,0,1,0,226,['US'],"Drama,Sci-Fi,Thriller"
9,2008,71,1,1,0,42,1,3,0,0,0,1,5,17,['US'],Documentary
7,2016,83,0,1,0,38,1,3,0,0,0,4,1,35,['JP'],"Drama,Thriller"
7,1932,79,0,30,0,66,4,3,0,0,0,10,15,408,['US'],Drama
6,1993,4,0,1,0,3,0,7,0,0,0,5,0,17,['JP'],"Animation,Short"
7,2023,43,0,1,0,168,0,1,0,0,0,7,0,59,['SE'],"Crime,Drama,Mystery"
9,2016,17,0,10,0,23,0,7,2,0,0,2,0,17,['LT'],"Drama,Short"
7,2018,41,0,1,0,41,0,1,0,0,0,1,0,36,['US'],"Reality-TV,Romance"
7,1906,6,0,0,0,2,0,7,0,0,0,2,0,12,['FR'],Short
9,1996,25,0,1,0,60,2,1,0,0,0,1,0,14,['AU'],"Action,Adventure,Family"
7,1898,1,0,7,0,3,3,7,0,0,0,7,9,1021,['FR'],"Fantasy,Horror,Short"
10,2020,58,0,1,0,49,0,1,0,0,0,1,0,43,['IN'],Drama
10,2020,58,0,3,0,9,0,4,0,1,0,2,1,21,['NZ'],Reality-TV
8,1982,101,0,2,0,37,0,3,1,0,0,1,0,15,['MX'],"Drama,Romance"
4,1982,77,0,1,0,55,0,3,0,0,0,2,0,27,['FR'],Comedy
6,1966,6,0,0,0,11,0,7,0,0,0,1,0,12,['US'],"Animation,Short"
10,2016,58,0,1,0,127,0,1,0,0,0,1,0,12,['CA'],"Family,Music"
6,2021,14,1,6,0,21,2,7,3,0,0,1,0,19,['CA'],Short
5,1914,16,0,10,0,19,6,7,0,0,0,16,15,1253,['US'],"Comedy,Short"
5,1975,58,0,1,0,45,0,3,0,0,0,9,4,69,['IT'],Western
6,1960,85,0,2,0,66,5,3,0,0,0,5,5,138,['MX'],"Drama,Fantasy"
7,2015,58,3,3,1,88,22,3,4,0,0,15,4,680,['FR'],"Comedy,Drama,Mystery"
9,1953,7,0,15,0,17,2,7,0,0,0,12,25,3643,['US'],"Adventure,Animation,Comedy"
7,1980,24,0,0,0,3,0,1,0,0,0,1,0,28,['JP'],"Adventure,Animation,Comedy"
10,2007,24,0,0,0,30,0,5,0,0,0,1,0,17,['US'],"Documentary,Short"
8,2017,3,0,1,0,7,0,7,0,0,0,2,0,44,['GB'],"Animation,Short"
7,2014,58,0,1,1,18,0,3,0,0,0,1,0,18,['IN'],"Drama,Romance"
9,1970,58,0,11,0,42,2,1,0,0,0,1,4,72,['US'],Western
7,1995,105,1,15,0,111,15,3,2,0,0,19,40,3645,"['HK', 'CN']",Action
8,2023,58,0,5,0,20,0,6,0,1,0,2,0,32,['GB'],"Action,Crime,Documentary"
7,2003,20,1,2,0,31,0,7,0,0,0,1,1,31,['ES'],"Comedy,Short"
8,2010,8,0,5,0,27,0,7,0,0,0,1,0,14,['US'],Short
7,1941,58,0,1,0,23,0,3,0,0,0,11,1,17,['FR'],Comedy
8,1981,49,0,1,0,85,0,1,0,0,0,1,1,85,['US'],"Drama,Romance"
8,2013,29,0,0,0,66,0,7,0,0,0,2,0,10,['FI'],"Documentary,Short"
7,1997,58,0,3,0,111,0,1,0,0,0,1,2,121,['US'],"Drama,Romance"
7,1996,26,0,2,0,20,2,7,0,0,0,2,0,60,['CA'],Short
5,1987,60,0,6,0,11,0,5,0,0,0,1,0,47,['US'],"Comedy,Reality-TV"
9,2022,58,0,1,0,3,0,7,0,0,0,1,0,7,['RU'],"Drama,Short"
8,1998,22,0,2,0,39,0,1,0,0,0,1,0,551,['JP'],"Action,Adventure,Animation"
8,1992,28,0,1,0,24,0,1,0,0,0,1,0,13,['US'],"Family,Fantasy,Music"
6,1982,143,0,12,0,10,0,3,0,0,0,2,0,15,['IR'],Drama
8,2023,50,3,62,5,678,28,4,22,1,0,24,462,61851,"['GB', 'US']","Comedy,Drama,Thriller"
9,2017,11,0,2,0,7,0,7,0,0,0,1,0,8,['AZ'],"Comedy,Drama,Short"
8,1988,47,0,2,0,72,1,1,0,0,0,1,0,101,['US'],"Drama,Romance"
4,2008,97,0,1,1,45,1,3,0,0,0,3,20,1128,['US'],"Horror,Thriller"
8,2011,12,0,2,0,25,0,7,0,0,0,1,0,16,['US'],"Action,Short"
8,2008,46,0,2,0,18,0,1,0,0,0,1,0,24,['CA'],"Adventure,Documentary"
